CustomerID,CustomerFirstName,CustomerLastName,CustomerAddress,CustomerCity,CustomerState,CustomerZIP,CustomerEmail
1,Kameko,Gray,Ap #404-8160 Arcu. Street,Jackson,GA,89932,arcu@yahoo.couk
2,Ray,Acevedo,418-1617 Aliquam St.,Birmingham,CA,56688,lobortis.risus.in@icloud.couk
3,Ciara,Cole,222-4904 Vel Rd.,Jackson,AL,34447,et@aol.couk
4,Guy,Willis,"647-1716 Id, Ave",Memphis,CA,69574,luctus.et@hotmail.net
5,Clio,George,498-1833 Odio. Street,Hartford,NH,47622,eu.odio@google.edu
6,Skyler,Barnett,783-7755 Amet Rd.,Kenosha,NH,15327,amet@icloud.couk
7,Imelda,Porter,Ap #741-1981 Orci St.,Fairbanks,HI,75817,donec.nibh.quisque@hotmail.couk
8,Rebecca,Glover,Ap #450-8331 Nulla. St.,Dover,NY,89940,eget@icloud.com
9,Cara,Alvarado,"P.O. Box 451, 5111 Egestas St.",Fresno,NY,33329,duis.at@outlook.ca
10,Kennan,Lott,"P.O. Box 148, 9000 Quis Av.",Green Bay,FL,20380,in.hendrerit.consectetuer@icloud.net
11,Aphrodite,Tate,8698 Dolor. Road,Montgomery,CA,62791,nec.diam@outlook.org
12,Palmer,Whitley,"P.O. Box 249, 5413 Sed Ave",Chattanooga,NJ,52307,duis@yahoo.com
13,Russell,Andrews,"P.O. Box 970, 8197 Curabitur Av.",Shreveport,AK,40212,maecenas.ornare.egestas@aol.ca
14,Madison,Jensen,682-8176 Pellentesque Street,Madison,AL,30481,arcu.aliquam.ultrices@outlook.net
15,Molly,Morton,7150 Hendrerit. Rd.,Kenosha,FL,71987,sagittis.placerat@icloud.com
16,Emerald,Conley,Ap #342-9170 Diam Ave,Evansville,AL,78377,diam.vel.arcu@outlook.org
17,Octavia,Hunter,"1155 Montes, St.",Lansing,NH,22014,egestas.duis.ac@yahoo.couk
18,Nell,Bauer,"P.O. Box 415, 9726 Tellus, St.",Burlington,AK,82749,ut.quam@protonmail.com
19,Mariam,Spence,Ap #480-2100 Sed Rd.,Phoenix,AL,78074,imperdiet.ullamcorper@hotmail.couk
20,Jordan,Bradford,Ap #361-1675 Mauris. Ave,Eugene,HI,86157,eget@outlook.com
21,Susan,Payne,"P.O. Box 656, 9776 Blandit Rd.",Fairbanks,CA,14699,vel.venenatis@yahoo.com
22,Hoyt,Stuart,Ap #911-1661 Et Avenue,Huntsville,NJ,20404,eget.massa.suspendisse@hotmail.edu
23,Thomas,Bender,Ap #704-6931 Metus. Rd.,Bridgeport,AK,41202,metus.aliquam.erat@protonmail.com
